,Series_Title,Released_Year,Certificate,Overview,Director,Star1
914,Sherlock Holmes,2009,PG-13,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Guy Ritchie,Robert Downey Jr.
915,The Blind Side,2009,UA,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",John Lee Hancock,Quinton Aaron
916,The Visitor,2007,PG-13,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,Tom McCarthy,Richard Jenkins
917,Seven Pounds,2008,UA,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,Gabriele Muccino,Will Smith
918,Eastern Promises,2007,R,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,David Cronenberg,Naomi Watts
919,Stardust,2007,U,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",Matthew Vaughn,Charlie Cox
920,The Secret of Kells,2009,,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",Tomm Moore,Nora Twomey
921,Inside Man,2006,R,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",Spike Lee,Denzel Washington
922,Gone Baby Gone,2007,R,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",Ben Affleck,Morgan Freeman
923,La Vie En Rose,2007,PG-13,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",Olivier Dahan,Marion Cotillard
924,Huo Yuan Jia,2006,PG-13,"A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation.",Ronny Yu,Jet Li
925,The Illusionist,2006,U,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.",Neil Burger,Edward Norton
926,Dead Man's Shoes,2004,,A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.,Shane Meadows,Paddy Considine
927,Harry Potter and the Half-Blood Prince,2009,UA,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",David Yates,Daniel Radcliffe
928,300,2006,A,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Zack Snyder,Gerard Butler
929,Match Point,2005,R,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",Woody Allen,Scarlett Johansson
930,Watchmen,2009,A,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Zack Snyder,Jackie Earle Haley
931,Lord of War,2005,R,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,Andrew Niccol,Nicolas Cage
932,Saw,2004,UA,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",James Wan,Cary Elwes
933,"Synecdoche, New York",2008,R,"A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play.",Charlie Kaufman,Philip Seymour Hoffman
934,Mysterious Skin,2004,R,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth.",Gregg Araki,Brady Corbet
935,Jeux d'enfants,2003,R,"As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another.",Yann Samuell,Guillaume Canet
936,Un long dimanche de fiançailles,2004,U,"Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.",Jean-Pierre Jeunet,Audrey Tautou
937,The Station Agent,2003,R,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",Tom McCarthy,Peter Dinklage
938,21 Grams,2003,UA,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",Alejandro G. Iñárritu,Sean Penn
939,Boksuneun naui geot,2002,R,"A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant.",Chan-wook Park,Kang-ho Song
940,Finding Neverland,2004,U,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,Marc Forster,Johnny Depp
941,25th Hour,2002,R,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",Spike Lee,Edward Norton
942,The Butterfly Effect,2004,U,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",Eric Bress,J. Mackye Gruber
943,28 Days Later...,2002,A,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",Danny Boyle,Cillian Murphy
944,Batoru rowaiaru,2000,,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",Kinji Fukasaku,Tatsuya Fujiwara
945,The Royal Tenenbaums,2001,A,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,Wes Anderson,Gene Hackman
946,Y tu mamá también,2001,A,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",Alfonso Cuarón,Maribel Verdú
947,Harry Potter and the Sorcerer's Stone,2001,U,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",Chris Columbus,Daniel Radcliffe
948,The Others,2001,PG-13,A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,Alejandro Amenábar,Nicole Kidman
949,Blow,2001,R,"The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States.",Ted Demme,Johnny Depp
950,Enemy at the Gates,2001,A,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.,Jean-Jacques Annaud,Jude Law
951,Minority Report,2002,A,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",Steven Spielberg,Tom Cruise
952,The Hurricane,1999,R,"The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.",Norman Jewison,Denzel Washington
953,American Psycho,2000,A,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",Mary Harron,Christian Bale
954,Lola rennt,1998,UA,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",Tom Tykwer,Franka Potente
955,The Thin Red Line,1998,A,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.",Terrence Malick,Jim Caviezel
956,Mulan,1998,U,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",Tony Bancroft,Barry Cook
957,Fear and Loathing in Las Vegas,1998,R,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.,Terry Gilliam,Johnny Depp
958,Funny Games,1997,A,"Two violent young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement.",Michael Haneke,Susanne Lothar
959,Dark City,1998,A,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from.",Alex Proyas,Rufus Sewell
960,Sleepers,1996,UA,"After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge.",Barry Levinson,Robert De Niro
961,Lost Highway,1997,A,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.",David Lynch,Bill Pullman
962,Sense and Sensibility,1995,U,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",Ang Lee,Emma Thompson
963,Die Hard: With a Vengeance,1995,A,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",John McTiernan,Bruce Willis
964,Dead Man,1995,R,"On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world.",Jim Jarmusch,Johnny Depp
965,The Bridges of Madison County,1995,A,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,Clint Eastwood,Clint Eastwood
